Plant Type,Family,Common Name,Genus,Organism,OTU ,Sequences,BLH,Query,BarCode,Time Period,Date,Region,Site,Host Plant,Sex,BLTVA ,BCTV,Notes
Grass,Poaceae,Mediterranean barley,Hordeum,Hordeum brevisubulatum,4,6,44,bc1109--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,,1,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,1,4,44,bc1109--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,,1,0,
Crop,Fabaceae,cowpea,Vigna,Vigna unguiculata,1,4,44,bc1109--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,,1,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,1,68,623,bc1106--bc1112,trnF,Early June,2021-06-02,Moxee,Moxee farm,Tumble mustard,F,0,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,1,5,549,bc1100--bc1106,trnF,Early June,2021-06-02,Moxee,Moxee farm,Flixweed,F,0,,Parasitized
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,2,33,499,bc1100--bc1105,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,1,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,7,290,467,bc1100--bc1103,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,0,,Parasitized? Distended abdomen
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,2,2,89,bc1107--bc1114,trnF,Early April,2021-04-13,Othello,Othello farm,Flixweed,F,0,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,3,8,5,bc1103--bc1120,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,27,43,499,bc1100--bc1105,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,1,,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,4,8,5,bc1103--bc1120,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,,
Weed,Convolvulaceae,Field bindweed,Convolvulus,Convolvulus arvensis,3,2,89,bc1107--bc1114,trnF,Early April,2021-04-13,Othello,Othello farm,Flixweed,F,0,,
Crop,Apiaceae,carrot,Daucus,Daucus carota,2,2,89,bc1107--bc1114,trnF,Early April,2021-04-13,Othello,Othello farm,Flixweed,F,0,,
Grass,Poaceae,Wild barley,Hordeum,Hordeum brevisubulatum,4,6,549,bc1100--bc1106,trnF,Early June,2021-06-02,Moxee,Moxee farm,Flixweed,F,0,,Parasitized
Grass,Poaceae,Mediterranean barley,Hordeum,Hordeum marinum,3,4,467,bc1100--bc1103,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,0,,Parasitized? Distended abdomen
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,5,11,623,bc1106--bc1112,trnF,Early June,2021-06-02,Moxee,Moxee farm,Tumble mustard,F,0,,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,16,10,499,bc1100--bc1105,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,1,,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,21,80,499,bc1100--bc1105,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,1,,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,55,147,449,bc1123--bc1161,ITS,Late May,2021-05-26,Pasco,Pasco farm,Kochia,F,0,,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,4,7,89,bc1107--bc1114,trnF,Early April,2021-04-13,Othello,Othello farm,Flixweed,F,0,,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,7,402,5,bc1103--bc1120,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,,
Weed,Asteraceae,Goats beard,Tragopogon,Tragopogon pratensis,5,3,2,bc1103--bc1112,trnF,Late March,2021-03-23,Moxee,Moxee farm,Flixweed,F,0,,
Crop,Fabaceae,cowpea,Vigna,Vigna unguiculata,1,5,549,bc1100--bc1106,trnF,Early June,2021-06-02,Moxee,Moxee farm,Flixweed,F,0,,Parasitized
Crop,Fabaceae,cowpea,Vigna,Vigna unguiculata,1,5,89,bc1107--bc1114,trnF,Early April,2021-04-13,Othello,Othello farm,Flixweed,F,0,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,4,15,340,bc1105--bc1177,trnF,Late May,2021-05-18,Pasco,Pasco farm,Tumble mustard,F,0,1,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,1567,135,321,bc1108--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Flixweed,F,0,1,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,2,3,253,bc1110--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,1,1,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,2,2,248,bc1109--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,1,1,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,8,42,206,bc1114--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,0,1,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,1,2,108,bc1108--bc1109,trnF,Late April,2021-04-20,Moxee,Moxee farm,Flixweed,F,1,1,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,32,258,10,bc1105--bc1109,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,1,slightly positive for BCTV
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,1,37,4,bc1103--bc1114,trnF,Late March,2021-03-23,Moxee,Moxee farm,Flixweed,F,0,1,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,133,193,340,bc1105--bc1177,trnF,Late May,2021-05-18,Pasco,Pasco farm,Tumble mustard,F,0,1,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,16,8,321,bc1108--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Flixweed,F,0,1,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,2,6,99,bc1108--bc1111,trnF,Late April,2021-04-20,Othello,Othello farm,Flixweed,F,0,1,
Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,2,2,248,bc1109--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,1,1,
Tree,Rutaceaae,Amanatsu,Citrus,Citrus natsudaidai,27,18,321,bc1108--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Flixweed,F,0,1,
Weed,Convolvulaceae,Field bindweed,Convolvulus,Convolvulus arvensis,3,2,248,bc1109--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,1,1,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,12,2,206,bc1114--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,0,1,
Grass,Poaceae,Wheatgrass,Elymus,Elymus magellanicus,23,21,321,bc1108--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Flixweed,F,0,1,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,19,4,340,bc1105--bc1177,trnF,Late May,2021-05-18,Pasco,Pasco farm,Tumble mustard,F,0,1,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,4,2,99,bc1108--bc1111,trnF,Late April,2021-04-20,Othello,Othello farm,Flixweed,F,0,1,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,2,7,97,bc1107--bc1110,trnF,Late April,2021-04-20,Pasco,Pasco farm,Tumble mustard,F,1,1,
Weed,Asteraceae,Prickly Lettuce,Lactuca,Lactuca serriola,1,2,108,bc1108--bc1109,trnF,Late April,2021-04-20,Moxee,Moxee farm,Flixweed,F,1,1,
Tree,Rosaceae,Apple,Malus,Malus x,23,5,321,bc1108--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Flixweed,F,0,1,
Weed,Plantaginaceae,plantain,Plantago,Plantago lanceolata,19,34,321,bc1108--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Flixweed,F,0,1,
Mustard,Brassicaceae,unknown,Pseudofortuynia,Pseudofortuynia leucoclada,2,3,253,bc1110--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,1,1,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,6,72,326,bc1142--bc1176,trnF,Late May,2021-05-18,Othello,Othello farm,Kochia,F,0,1,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,36,1120,321,bc1108--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Flixweed,F,0,1,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,10,19,103,bc1108--bc1112,trnF,Late April,2021-04-20,Moxee,Moxee farm,Flixweed,F,1,1,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,9,63,99,bc1108--bc1111,trnF,Late April,2021-04-20,Othello,Othello farm,Flixweed,F,0,1,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,2,35,4,bc1103--bc1114,trnF,Late March,2021-03-23,Moxee,Moxee farm,Flixweed,F,0,1,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,6,32,340,bc1124--bc1162,ITS,Late May,2021-05-18,Pasco,Pasco farm,Tumble mustard,F,0,1,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,1,4,253,bc1110--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,1,1,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,4,7,248,bc1109--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,1,1,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,58,533,206,bc1114--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,0,1,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,153,362,206,bc1135--bc1161,ITS,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,0,1,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,4,2,179,bc1110--bc1143,trnF,Early May,2021-05-04,Moxee,Moxee farm,Kochia,F,0,1,Parasitized
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,4,2,118,bc1097--bc1142,trnF,Late April,2021-04-20,Moxee,Moxee farm,Flixweed,F,0,1,Parasitized
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,1,34,97,bc1107--bc1110,trnF,Late April,2021-04-20,Pasco,Pasco farm,Tumble mustard,F,1,1,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,2,6,96,bc1107--bc1109,trnF,Late April,2021-04-20,Pasco,Pasco farm,Tumble mustard,F,0,1,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,9,12,10,bc1105--bc1109,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,1,slightly positive for BCTV
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,10,97,10,bc1140--bc1180,ITS,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,1,slightly positive for BCTV
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,7,8,4,bc1103--bc1114,trnF,Late March,2021-03-23,Moxee,Moxee farm,Flixweed,F,0,1,
Mustard,Brassicaceae,Tall mustard,Sisymbrium,Sisymbrium loeselii,2,2,108,bc1108--bc1109,trnF,Late April,2021-04-20,Moxee,Moxee farm,Flixweed,F,1,1,
Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,2,2,108,bc1108--bc1109,trnF,Late April,2021-04-20,Moxee,Moxee farm,Flixweed,F,1,1,
Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,4,4,10,bc1105--bc1109,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,1,slightly positive for BCTV
Potato,Solanaceae,potato,Solanum,Solanum tuberosum,15,2,340,bc1105--bc1177,trnF,Late May,2021-05-18,Pasco,Pasco farm,Tumble mustard,F,0,1,
Potato,Solanaceae,potato,Solanum,Solanum tuberosum,9,28,326,bc1142--bc1176,trnF,Late May,2021-05-18,Othello,Othello farm,Kochia,F,0,1,
Potato,Solanaceae,potato,Solanum,Solanum tuberosum,13,28,96,bc1107--bc1109,trnF,Late April,2021-04-20,Pasco,Pasco farm,Tumble mustard,F,0,1,
Tree,Fabaceae,Japanese pagoda tree,Styphnolobium,Styphnolobium japonicum,7,7,97,bc1107--bc1110,trnF,Late April,2021-04-20,Pasco,Pasco farm,Tumble mustard,F,1,1,
Crop,Fabaceae,cowpea,Vigna,Vigna unguiculata,1,4,253,bc1110--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,1,1,
Crop,Fabaceae,cowpea,Vigna,Vigna unguiculata,1,5,248,bc1109--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,F,1,1,
Pigweed,Amaranthaceae,Spiny Pigweed,Amaranthus,Amaranthus spinosus,54,14,380,bc1107--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Weed,Basellaceae,Vine Spinach,Basella,Basella alba,25,8,380,bc1107--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,4,15,468,bc1097--bc1105,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,6,2,412,bc1105--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,3,2,392,bc1103--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,1,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,17,8,381,bc1108--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,18,2,295,bc1106--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Kochia,F,1,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,7,3,292,bc1105--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Kochia,F,0,0,Parasitized
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,8,319,98,bc1097--bc1108,trnF,Late April,2021-04-20,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,1,5,76,bc1097--bc1107,trnF,Early April,2021-04-06,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,2,9,58,bc1113--bc1169,trnF,Late March,2021-03-30,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,306,1211,15,bc1106--bc1120,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,27,356,12,bc1099--bc1106,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,18,137,11,bc1105--bc1110,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,4,25,9,bc1105--bc1120,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,28,403,7,bc1103--bc1110,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,3,4,6,bc1103--bc1109,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia scoparia,2,2,205,bc1113--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Kochia,F,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,16,4,468,bc1097--bc1105,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,11,6,366,bc1134--bc1160,ITS,Late May,2021-05-26,Moxee,Moxee farm,Tumble mustard,F,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,17,3,295,bc1106--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Kochia,F,1,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,2,2,204,bc1112--bc1144,trnF,Early May,2021-05-11,Othello,Othello farm,Kochia,F,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,5,10,32,bc1114--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,23,36,11,bc1105--bc1110,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,18,26,412,bc1105--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,
Weed,Convolvulaceae,Field bindweed,Convolvulus,Convolvulus arvensis,3,2,392,bc1103--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,1,0,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,6,130,468,bc1097--bc1105,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,4,3,32,bc1114--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,2,2,26,bc1112--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Grass,Poaceae,Meadow Fescue,Festuca,Festuca pratensis,11,23,468,bc1097--bc1105,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,0,0,
Grass,Poaceae,Wild barley,Hordeum,Hordeum brevisubulatum,2,3,392,bc1103--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,1,0,
Grass,Poaceae,Mediterranean barley,Hordeum,Hordeum marinum,20,7,381,bc1108--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Grass,Poaceae,Mediterranean barley,Hordeum,Hordeum marinum,4,5,12,bc1099--bc1106,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Grass,Poaceae,Mediterranean barley,Hordeum,Hordeum marinum,4,4,6,bc1103--bc1109,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Tree,Juglandaceae,English walnut,Juglans,Juglans regia,35,4,380,bc1107--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,369,88,468,bc1097--bc1105,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,27,4,381,bc1108--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,283,420,295,bc1106--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Kochia,F,1,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,71,118,292,bc1105--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Kochia,F,0,0,Parasitized
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,6,3,98,bc1097--bc1108,trnF,Late April,2021-04-20,Pasco,Pasco farm,Tumble mustard,F,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,4,2,16,bc1106--bc1109,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,5,4,11,bc1105--bc1110,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,29,24,7,bc1103--bc1110,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,5,3,6,bc1103--bc1109,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Tree,Rosaceae,Apple,Malus,Malus x,3,2,204,bc1112--bc1144,trnF,Early May,2021-05-11,Othello,Othello farm,Kochia,F,0,0,
