Plant Type,Family,Common Name,Genus,Organism,OTU ,Sequences,BLH,Query,BarCode,Time Period,Date,Region,Site,Host Plant,Sex,BLTVA ,BCTV,Notes
Tree,Pinaceae,Japanese Red Pine,Pinus,Pinus densiflora,4,10,412,bc1105--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,
Tree,Pinaceae,Japanese Red Pine,Pinus,Pinus densiflora,7,2,32,bc1114--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,9,20,412,bc1105--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,25,66,381,bc1108--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,8,6,170,bc1112--bc1143,trnF,Early May,2021-05-04,Moxee,Moxee farm,Flixweed,F,0,0,Parasitized
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,3,14,136,bc1097--bc1143,trnF,Late April,2021-04-27,Moxee,Moxee farm,Blue mustard,F,0,0,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,14,12,70,bc1110--bc1169,trnF,Early April,2021-04-06,Moxee,Moxee farm,Flixweed,F,0,0,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,13,11,32,bc1120--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,1,4,26,bc1112--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,6,30,468,bc1124--bc1163,ITS,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,24,94,381,bc1108--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,28,101,380,bc1134--bc1161,ITS,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,91,289,379,bc1134--bc1172,ITS,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,55,123,366,bc1134--bc1160,ITS,Late May,2021-05-26,Moxee,Moxee farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,595,798,330,bc1124--bc1160,ITS,Late May,2021-05-18,Pasco,Pasco farm,Kochia,F,1,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,7,9,295,bc1106--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Kochia,F,1,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,1,7,205,bc1113--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Kochia,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,7,4,204,bc1112--bc1144,trnF,Early May,2021-05-11,Othello,Othello farm,Kochia,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,6,,193,bc1100--bc1144,trnF,Early May,2021-05-11,Moxee,Moxee farm,Kochia,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,5,54,178,bc1109--bc1143,trnF,Early May,2021-05-04,Moxee,Moxee farm,Kochia,F,0,0,Parasitized
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,7,133,98,bc1097--bc1108,trnF,Late April,2021-04-20,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,20,18,88,bc1140--bc1152,ITS,Early April,2021-04-13,Pasco,Pasco farm,Tumble mustard,F,1,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,2,4,76,bc1097--bc1107,trnF,Early April,2021-04-06,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,5,63,58,bc1113--bc1169,trnF,Late March,2021-03-30,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,18,68,32,bc1114--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,2,2,26,bc1112--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,14,114,12,bc1099--bc1106,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,9,56,11,bc1105--bc1110,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,2,4,9,bc1105--bc1120,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,9,102,7,bc1103--bc1110,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,1,8,6,bc1103--bc1109,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Mustard,Brassicaceae,Tall mustard,Sisymbrium,Sisymbrium loeselii,2,2,204,bc1112--bc1144,trnF,Early May,2021-05-11,Othello,Othello farm,Kochia,F,0,0,
Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,3,7,392,bc1103--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,1,0,
Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,13,90,381,bc1108--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,186,471,380,bc1107--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,Parasitized? Distended abdomen
Potato,Solanaceae,potato,Solanum,Solanum tuberosum,8,18,412,bc1105--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,0,0,
Potato,Solanaceae,potato,Solanum,Solanum tuberosum,2,2,205,bc1113--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Kochia,F,0,0,
Potato,Solanaceae,potato,Solanum,Solanum tuberosum,5,5,204,bc1112--bc1144,trnF,Early May,2021-05-11,Othello,Othello farm,Kochia,F,0,0,
Potato,Solanaceae,potato,Solanum,Solanum tuberosum,16,29,178,bc1109--bc1143,trnF,Early May,2021-05-04,Moxee,Moxee farm,Kochia,F,0,0,Parasitized
Weed,Asteraceae,Goats beard,Tragopogon,Tragopogon pratensis,2,7,6,bc1103--bc1109,trnF,Late March,2021-03-23,Pasco,Pasco farm,Tumble mustard,F,0,0,
Crop,Fabaceae,cowpea,Vigna,Vigna unguiculata,1,4,392,bc1103--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,F,1,0,
Crop,Fabaceae,cowpea,Vigna,Vigna unguiculata,1,7,205,bc1113--bc1144,trnF,Early May,2021-05-11,Pasco,Pasco farm,Kochia,F,0,0,
Crop,Fabaceae,cowpea,Vigna,Vigna unguiculata,1,3,204,bc1112--bc1144,trnF,Early May,2021-05-11,Othello,Othello farm,Kochia,F,0,0,
Crop,Fabaceae,cowpea,Vigna,Vigna unguiculata,1,4,26,bc1112--bc1175,trnF,Late March,2021-03-30,Moxee,Moxee farm,Flixweed,F,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,3,6,626,bc1100--bc1107,trnF,Early June,2021-06-02,Moxee,Moxee farm,Tumble mustard,M,0,,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,108,347,624,bc1106--bc1113,trnF,Early June,2021-06-02,Moxee,Moxee farm,Tumble mustard,M,0,,Parasitized
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,121,477,530,bc1105--bc1111,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,M,1,,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,2,11,626,bc1100--bc1107,trnF,Early June,2021-06-02,Moxee,Moxee farm,Tumble mustard,M,0,,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,6,9,530,bc1105--bc1111,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,M,1,,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,3,12,416,bc1107--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,M,0,,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,74,655,625,bc1114--bc1169,trnF,Early June,2021-06-02,Moxee,Moxee farm,Tumble mustard,M,0,,Parasitized
Grass,Poaceae,Mediterranean barley,Hordeum,Hordeum marinum,9,5,530,bc1105--bc1111,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,M,1,,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,142,158,624,bc1106--bc1113,trnF,Early June,2021-06-02,Moxee,Moxee farm,Tumble mustard,M,0,,Parasitized
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,45,8,530,bc1105--bc1111,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,M,1,,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,24,9,416,bc1107--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,M,0,,
Weed,Asteraceae,Prickly Lettuce,Lactuca,Lactuca serriola,2,11,414,bc1123--bc1172,ITS,Late May,2021-05-26,Moxee,Moxee farm,Kochia,M,0,,Parasitized? Distended abdomen
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,28,53,530,bc1105--bc1111,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,M,1,,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,1,12,626,bc1100--bc1107,trnF,Early June,2021-06-02,Moxee,Moxee farm,Tumble mustard,M,0,,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,79,276,625,bc1114--bc1169,trnF,Early June,2021-06-02,Moxee,Moxee farm,Tumble mustard,M,0,,Parasitized
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,19,3,624,bc1106--bc1113,trnF,Early June,2021-06-02,Moxee,Moxee farm,Tumble mustard,M,0,,Parasitized
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,15,39,530,bc1105--bc1111,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,M,1,,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,2,41,416,bc1107--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,M,0,,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,36,103,416,bc1123--bc1191,ITS,Late May,2021-05-26,Moxee,Moxee farm,Kochia,M,0,,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,28,88,415,bc1123--bc1160,ITS,Late May,2021-05-26,Moxee,Moxee farm,Kochia,M,0,,Parasitized? Distended abdomen
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,136,220,414,bc1123--bc1172,ITS,Late May,2021-05-26,Moxee,Moxee farm,Kochia,M,0,,Parasitized? Distended abdomen
Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,7,6,530,bc1105--bc1111,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,M,1,,
Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,16,84,416,bc1107--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,M,0,,
Potato,Solanaceae,potato,Solanum,Solanum tuberosum,31,228,624,bc1106--bc1113,trnF,Early June,2021-06-02,Moxee,Moxee farm,Tumble mustard,M,0,,Parasitized
Tree,Betulaceae,Alder,Alnus,Alnus jorullensis,2,2,365,bc1106--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Flixweed,M,0,0,
Weed,Basellaceae,Vine Spinach,Basella,Basella alba,13,11,448,bc1108--bc1178,trnF,Late May,2021-05-26,Othello,Othello farm,Kochia,M,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,21,14,548,bc1097--bc1106,trnF,Early June,2021-06-02,Moxee,Moxee farm,Loesel's mustard,M,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,2,47,541,bc1105--bc1113,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,M,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,2,48,448,bc1108--bc1178,trnF,Late May,2021-05-26,Othello,Othello farm,Kochia,M,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,6,2,413,bc1106--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,M,0,0,Parasitized? Distended abdomen
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,2,2,365,bc1106--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Flixweed,M,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,1,19,339,bc1103--bc1177,trnF,Late May,2021-05-18,Pasco,Pasco farm,Kochia,M,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,1,6,320,bc1107--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Tumble mustard,M,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,2,3,254,bc1103--bc1176,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,M,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,5,10,548,bc1097--bc1106,trnF,Early June,2021-06-02,Moxee,Moxee farm,Loesel's mustard,M,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,24,18,541,bc1105--bc1113,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,M,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,5,7,448,bc1108--bc1178,trnF,Late May,2021-05-26,Othello,Othello farm,Kochia,M,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,4,7,413,bc1106--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,M,0,0,Parasitized? Distended abdomen
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,5,6,320,bc1107--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Tumble mustard,M,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,1,5,254,bc1103--bc1176,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,M,0,0,
Grass,Poaceae,Poverty Brome,Bromus,Bromus sterilis,9,25,17,bc1106--bc1110,trnF,Late March,2021-03-23,Othello,Othello farm,Flixweed,M,0,0,
Weed,Amaranthaceae,Lambsquarter White goosefoot,Chenopodium,Chenopodium album,3,19,541,bc1105--bc1113,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,M,0,0,
Weed,Convolvulaceae,Field bindweed,Convolvulus,Convolvulus arvensis,3,2,365,bc1106--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Flixweed,M,0,0,
Weed,Convolvulaceae,Field bindweed,Convolvulus,Convolvulus arvensis,3,2,320,bc1107--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Tumble mustard,M,0,0,
Weed,Convolvulaceae,Field bindweed,Convolvulus,Convolvulus arvensis,2,6,203,bc1111--bc1144,trnF,Early May,2021-05-11,Moxee,Moxee farm,Kochia,M,0,0,
Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,2,4,320,bc1107--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Tumble mustard,M,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,21,4,548,bc1097--bc1106,trnF,Early June,2021-06-02,Moxee,Moxee farm,Loesel's mustard,M,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,13,10,541,bc1105--bc1113,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,M,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,13,5,413,bc1106--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,M,0,0,Parasitized? Distended abdomen
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,4,5,365,bc1106--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Flixweed,M,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,14,20,339,bc1103--bc1177,trnF,Late May,2021-05-18,Pasco,Pasco farm,Kochia,M,0,0,
Crop,Asteraceae,garden lettuce,Lactuca,Lactuca sativa,1,13,203,bc1111--bc1144,trnF,Early May,2021-05-11,Moxee,Moxee farm,Kochia,M,0,0,
Weed,Asteraceae,Prickly Lettuce,Lactuca,Lactuca serriola,1,3,365,bc1106--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Flixweed,M,0,0,
Weed,Asteraceae,Prickly Lettuce,Lactuca,Lactuca serriola,1,13,203,bc1111--bc1144,trnF,Early May,2021-05-11,Moxee,Moxee farm,Kochia,M,0,0,
Mustard,Brassicaceae,unknown,Pseudofortuynia,Pseudofortuynia leucoclada,2,3,254,bc1103--bc1176,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,M,0,0,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,12,16,541,bc1105--bc1113,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,M,0,0,
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,29,146,448,bc1108--bc1178,trnF,Late May,2021-05-26,Othello,Othello farm,Kochia,M,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,1,52,541,bc1105--bc1113,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,M,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,17,8,448,bc1108--bc1178,trnF,Late May,2021-05-26,Othello,Othello farm,Kochia,M,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,7,2,413,bc1106--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,M,0,0,Parasitized? Distended abdomen
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,4,2,365,bc1106--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Flixweed,M,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,6,53,339,bc1124--bc1161,ITS,Late May,2021-05-18,Pasco,Pasco farm,Kochia,M,0,0,
Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,2,6,203,bc1111--bc1144,trnF,Early May,2021-05-11,Moxee,Moxee farm,Kochia,M,0,0,
Crop,Solanaceae,Tomato,Solanum,Solanum lycopersicum,4,9,339,bc1103--bc1177,trnF,Late May,2021-05-18,Pasco,Pasco farm,Kochia,M,0,0,
Potato,Solanaceae,potato,Solanum,Solanum tuberosum,44,111,548,bc1097--bc1106,trnF,Early June,2021-06-02,Moxee,Moxee farm,Loesel's mustard,M,0,0,
Potato,Solanaceae,potato,Solanum,Solanum tuberosum,25,62,413,bc1106--bc1178,trnF,Late May,2021-05-26,Moxee,Moxee farm,Kochia,M,0,0,Parasitized? Distended abdomen
Potato,Solanaceae,potato,Solanum,Solanum tuberosum,4,2,365,bc1106--bc1177,trnF,Late May,2021-05-26,Moxee,Moxee farm,Flixweed,M,0,0,
Potato,Solanaceae,potato,Solanum,Solanum tuberosum,1,23,17,bc1106--bc1110,trnF,Late March,2021-03-23,Othello,Othello farm,Flixweed,M,0,0,
Weed,Asteraceae,Goats beard,Tragopogon,Tragopogon pratensis,2,15,339,bc1103--bc1177,trnF,Late May,2021-05-18,Pasco,Pasco farm,Kochia,M,0,0,
Crop,Fabaceae,cowpea,Vigna,Vigna unguiculata,1,6,320,bc1107--bc1176,trnF,Late May,2021-05-18,Moxee,Moxee farm,Tumble mustard,M,0,0,
Crop,Fabaceae,cowpea,Vigna,Vigna unguiculata,1,5,254,bc1103--bc1176,trnF,Early May,2021-05-11,Pasco,Pasco farm,Tumble mustard,M,0,0,
Kochia,Amaranthaceae,Kochia,Bassia,Bassia littorea,1,11,466,bc1097--bc1103,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,,0,,Parasitized
Russian Thistle,Amaranthaceae,Slender Russian Thistle,Salsola,Salsola collina,5,5,466,bc1097--bc1103,trnF,Late May,2021-05-26,Pasco,Pasco farm,Tumble mustard,,0,,Parasitized
